ngo_id,date_added,latin_name,arabic_name,country,address,governorate,phone,email,date_of_creation,type_of_organization,target_group,president,director,secretary_general,treasurer,missions_and_goals,impact_of_ong,activities,building_networks_and_alliances,other,publications,training_and_capacity_building,research_resources_and_production,exchange_of_information_know-how_and_experience,website
330,2014-11-06 22:41:35.889956,ATTAC Maroc,جمعية تضريب المعانلات المالية من أجل مساعدة المواطنين,المغرب,,اكادير,00212 26 67490412,maaras.aziz@gmail.com,2011-01-01,حقوقية,كل الفئات,عمر ازقي,,حسن الرويض,محمد ايت تعرايت,التحسيس والنضال ضد النيوليبرالية,إقليمي,"دراسة كل الاتفاقيات الدولية للمغرب, تحليل قوانين المالية",,,مفس المهام مع متابعة كل جديد في المجال الاقتصادي والاجتماعي,,,,www.attac-maroc.org
331,2014-11-06 22:41:48.014434,Info Islam Tunisia,الجمعية التونسية للتعريف بالاسلام,تونس,الكرم,تونس,,,2012-07-01,,غير المسلمين,سفيان الشابي,,,صبري الرايس,التعريف بالسلام لدى الاجانب المقيمين او السواح,,خيمات للدعوة في المناطق السياحية,,,"التعريف بالاسلام في المطارات والموانئ, انساء مركز وطني للتعريف بالاسلام",,,,www.discoverislam.tn
332,2014-11-06 22:41:57.153022,Association Femme Libre,جمعية المرأة الحرة,تونس,باب الجلمين عمارة يحي ، الطابق الخامس,صفاقس,+ 216 74 240793,,2011-01-01,جمعية ثقافية تنموية,النساء,امنة بوعزيز,,سفيان بن حليمة,سعاد المصمودي,"عمل خيري، اجتماعي وتنموي للنساء, توعية سياسية، قانونية وثقافية للنساء",,"ندوات فكرية وملتقيات علمية في السياسة والقانون والدين, ندوات تكوينية في التنمية البشرية",,,تكوين حرفي للنساء دون شهادة علمية,,,,
333,2014-11-06 22:42:11.264092,Encadrement de la Famille,جمعية الاحاطة بالأسرة,تونس,حي الحبيب نهج الأردن عدد 73 صفاقس 3052,صفاقس,+ 216 74 676477,,2012-07-09,جمعية خيرية اجتماعية,الاسرة,الهادي اللجمي الشريف,,نجم الدين حمزة,لمجد الجراية,"التأهيل النفسي والصحي والديني قبل الزواج وبعده, الحد من ظاهرة الطلاق والعنف الاسري ومعالجة العزوف عن الزواج",جهوي,مساعدة العائلات وفاقدي السند والراغبين في الزواج,,,مشاريع تنموية للنهوض بالعائلات المعوزة,,,,
334,2014-11-06 22:42:18.375276,Health Work Committes/ HWC,مؤسسة لجان العمل الصحّي,فلسطين,البيرة، سطح مرحبا، شارع شهداء الفردان,رام الله,+972 02 9/2427518,"shathaadel@hotmail.com, info@hwc-pal.org",1985-01-01,منطمة اهلية غير حكومية,كل الفئات والشرائح,محمد يعقوب عثمان,شذى عودة,شعوان الجبارين,وليد ابوسامر,"نحو منظومة صحية تنموية في ظل مجتمع تسوده العدالة والديمقراطية, تقديم خدمات صحية شاملة للجميع وخاصة للفئات المهمشة والفقيرة",جهوي,,,,,,,,www.hwc-pal.org
335,2014-11-06 22:42:32.482163,Commission Nationale Consultative de Promotion et de Protection des Droits de l\'Homme,اللجنة الوطنية الاستشارية لترقية حقوق الانسان وحمايتها,الجزائر/Algérie,شارع روزفلت، قصر الشعب، الجزائر,الجزائر,+ 213 770360388,zaalani2@hotmail.com,2001-01-01,منظمة حقوقية,الشعب,فاروق قسنطيني,مرجانة عبدالوهاب,,,الدفاع عن ترقية وحماية حقوق الانسان وتقديم استشارات للحكومة في هذا المجال,,"تنطيم ملتقيات وطنية ودولية (التربية على حقوق الانسان، عقوبة الاعدام، المواثيق الدولية لحقوق الانسان...), تلقي الشكاوي وزيارة المؤسسات العقابية",,,الدفاع عن حقوق الانسان والعمل على ترقيتها ونشر ثقافة حقوق الانسان والتأثير على قرارات ومواقف الحكومة,,,,www.cncppdh-algerie.org
336,2014-11-06 22:42:37.599901,Forum des Alternatives Maroc,منتدى بدائل المغرب,المغرب,شارع محمد الخامس، زاكورة,زاكورة,+ 212 6 6689370,issamoukhouya@gmail.com,2006-01-01,منظمة غير حكومية,النساء، الأطفال والشباب,حورية اللامي,كمال الحبيب,,,,إقليمي,"الدفاع عن حقوق النساء، الأطفال وتشريك الشباب في الحياة العامة, المجلس الاستشاري للشبان, المنتديات الاجتماعية واللقاءات الجهوية, فتح المجال السمعي البصري امام الجمعيات",,,انشاء اذاعة مجتمعية في المنطقة (مشرق/مغرب),,,,http://www.forumalternatives.org/
337,2014-11-06 22:42:47.778528,Association de la Communication Culturelle,الجمعية الثقافية للتواصل والبناء,تونس,حي 18 جانفي، ص.ب. 166 حي التضامن، تونس,أريانة,+ 216 95 981895,,2011-10-29,ثقفافية,مل الفئات وخاصة الشباب والاطفال,نورالدين الجعيدي,,سهام شرفادي,حذامي الجعيدي,العناية بالشباب والأطفال في المجال الثقافي وارساء ثقافة بديلة,جهوي,التوجه للتلاميذ في اطار مقاومة العنف والمخدّرات داخل المعاهد والمدارس الاعدادية,,,,,,,
338,2014-11-06 22:42:52.963828,Association Devoir Culturel et Développement,جمعية الواجب الثقافي التنموي,الجوائر,بلدية المراهنة رقم 01 حي بوعلاق بشير,سوق هراس,+ 213 550555395,adcd@yahoo.fr,2002-01-01,جمعية ثقافية تنموية,الشباب,مدوري عبدالواحد,,,,ايجاد فضاء للشباب لطرح انشغالاتهم واقتراحاتهم,جهوي,"تمثيل الشباب في جامعة الدول العربية, دورات رياضية وتثقيفية وملتقيات جهوية للشباب لبسط همومهم",,,"تجسيد فكرة الشبكة الوطنية للشباب الجزائري, إنشاء المجالس الاستشارية على المستوى المحلي بين المجتمع المدني والبلدية وتفعيل الشراكة",,,,
339,2014-11-06 22:43:03.080717,Ligue des arts dramatiques et cinématographiques,رابطة الفنون الدرامية والسينمائية,الجزائر,طريق الأعلى من جهة البريد شيخي,تزي وزو,+ 213 0663089925,ligueartd@yahoo.fr,1998-01-01,منظمة ثقافية,كل الفئات,رزقي دريس,مترف حسن,,موح كاسد,تبادل ثقافي بين بعض الدول لخلق جسور تواصل بين الثقافات,,"مهرجان ""فن الحكي"", مساندة مخرجي الأفلام, مدرسة الموارد الفنّية وادماج الشباب",,,تقييم المهرجان والاستعداد لليوم العالمي للكتاب,,,,
340,2014-11-06 22:43:16.190243,Forum Démocratique International pour la Recherche Scientifique et Sociale,المنتدى الدّولي الديمقراطي ومختبر البحث العلمي في العلوم الاجتماعية والسياسية,المغرب,10 شارع كلية العلوم الانسانية، الرّباط,الرّباط,+ 212 535522529,aelkouhen@gmail.com,1999-01-01,منظمة سياسية واجتماعية,كل الفئات,عبدالسعاف,,,,اهداف سياسية، اجتماعية، اقتصادية وانسانية,,المنتدى الوطني الديمقراطي,,,العمل السياسي والاجتماعي والاقتصادي,,,,
341,2014-11-06 22:43:24.296840,Association Ofok,جمعية أفق,تونس,شارع شارل دي جول، حمام سوسة,سوسة,+ 216 73 364922,associationofok@hotmail.fr,2011-01-01,جمعية خيرية تنموية اجتماعية,الأيتام والعائلات المعوزة,زياد الطاهر,,مريم الجديدي,حبيب بن حسن,"رعاية مادية ومعنوية للأيتام وتقديم مساعدات للطلبة, بعث مشاريع صغرى",,مشروع دار الضيافة للمسافرين للتدواي في مستشفيات بعيدة: جار للنساء ودار للرجال,,,تطوير كل المشاريع,,,,www.associationofok.org.tn
342,2014-11-06 22:43:31.405252,(Association pour la Défense des Marocains Expulsés d'Algérie (ADMEA,جمعية المغاربة ضحايا الطرد التعسّفي من الجزائر 1975,المغرب,ص.ب. رقم 23010 القامرة، الرباط,الرّباط,+ 212 650135914,miloud.chaouch@yahoo.fr,2006-01-01,جمعية حقوقية,المغاربة ضحايا التهجير القصري من الجزائر سنة 1975,ميلوج الشاوش,,حمراوي محمد,سعيد حجيوي,المطالبة بحقوق المغاربة ضحايا التهدير القصري وتقديم الدولة الجزائرية اعتذارها للضحايا.,إقليمي,"المشاركة في دورات مجلس حقوق الانسان بجنيف ورفع مذكّرة أممية للجنة حقوق العمال المهاجرين سنة 2010، اصدار توصيات أممية خاصة بحقوق الضحايا, رفع مذ""رة للاتحاد الأوروبي وتنطيم جلسات انصات للضحايا",,,دفع الدولة الجزائرية للاعتراف بجريمتها وجبر الضرر المادي والمعنوي للضحايا,,,,
343,2014-11-06 22:43:37.512985,ATAC,جمعية العمل من أجل المواطنة,تونس,,تونس,+ 216 71 707695,k.abhs@yahoo.fr,2012-03-01,حقوقية,المحامون,مفيدة بلغيث,,راضية الجربي,,نشر ثقافة المواطنة,,"كتابة مشروع دستور بالاشتراك مع شبكة دستورنا, الترشح لانتخابات المجلس التأسيسي ومراقبتها",,,,,,,
344,2014-11-06 22:43:47.616879,Femmes montrez vos muscles,جمعية شمّر على ذراعك يا مرا,تونس,شارع الحبيب بورقيبة 5170 الشابة، المهدية,المهدية,+ 216 97 314308,,2012-01-03,جمعية تنموية,المرأة الرّيفيّة,,,,,توعية وتثقيف المرأة الرّيفيّة,جهوي,أشغال يدوية: نسيج، رسم على البلّور....,,,مساعدة المرأة الرّيفيّة على الانخراط في العمل الجمعياتي,,,,
